11:19:28 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:20:01 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:20:30 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:22:11 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:22:15 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:23:17 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:23:20 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:24:20 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:24:28 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:24:52 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:31:45 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:31:49 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:32:26 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:32:31 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:35:13 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:35:17 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:44:46 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:45:52 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:45:56 - URL: /users/login, Status Code: 429, Message: Too Many Requests
11:46:22 - URL: /users/login, Status Code: 401, Message: Invalid email or password
11:46:33 - URL: /users/login, Status Code: 429, Message: Too Many Requests
12:18:29 - URL: /users/login, Status Code: 429, Message: Too Many Requests
12:20:04 - URL: /users/login, Status Code: 401, Message: Invalid email or password
12:20:06 - URL: /users/login, Status Code: 429, Message: Too Many Requests
12:41:29 - URL: /users/login, Status Code: 401, Message: Invalid email or password
12:41:31 - URL: /users/login, Status Code: 401, Message: Invalid email or password
12:41:32 - URL: /users/login, Status Code: 401, Message: Invalid email or password
12:41:33 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:03:10 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:03:25 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:13:53 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:13:58 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:14:01 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:15:50 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:15:57 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:16:01 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:20:41 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:20:43 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:20:45 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:24:51 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:24:53 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:24:54 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:25:37 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:25:38 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:25:39 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:26:01 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:26:03 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:26:04 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:33:00 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:33:03 - URL: /users/login, Status Code: 500, Message: Internal Server Error
13:34:04 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:34:07 - URL: /users/login, Status Code: 409, Message: User ip ::ffff:127.0.0.1 is Blocked from logging in until Invalid Date
13:36:42 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:36:45 - URL: /users/login, Status Code: 409, Message: User ip ::ffff:127.0.0.1 is Blocked from logging in until Invalid Date
13:39:25 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:39:29 - URL: /users/login, Status Code: 409, Message: User ip ::ffff:127.0.0.1 is Blocked from logging in until Invalid Date
13:47:36 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:47:38 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:47:40 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:47:46 - URL: /users/login, Status Code: 409, Message: Ip ::ffff:127.0.0.1 is blocked until 15.9.2023, 13:47:40.
13:47:57 - URL: /users/login, Status Code: 409, Message: Ip ::ffff:127.0.0.1 is blocked until 15.9.2023, 13:47:40.
13:59:50 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:59:52 - URL: /users/login, Status Code: 401, Message: Invalid email or password
13:59:57 - URL: /users/login, Status Code: 401, Message: Invalid email or password
14:09:08 - URL: /users/login, Status Code: 401, Message: Invalid email or password
14:09:09 - URL: /users/login, Status Code: 401, Message: Invalid email or password
14:09:11 - URL: /users/login, Status Code: 401, Message: Invalid email or password
14:09:13 - URL: /users/login, Status Code: 409, Message: Ip ::ffff:127.0.0.1 is blocked until 15.9.2023, 14:09:11.
14:31:01 - URL: /users/, Status Code: 400, Message: User is not authorized to do that operation.
14:33:30 - URL: /users/650027d352f24431c38b675a, Status Code: 400, Message: User is not authorized to do that operation.
14:34:17 - URL: /users/650027d352f24431c38b675a, Status Code: 400, Message: User is not authorized to do that operation.
14:40:12 - URL: /users/, Status Code: 400, Message: User is not authorized to do that operation.
14:40:31 - URL: /users/, Status Code: 400, Message: User is not authorized to do that operation.
14:41:17 - URL: /cards, Status Code: 400, Message: User is not authorized to do that operation.
